"29","-70.6664518.93E-4","-33.4515238.93E-4"
"36","-71.2087488.93E-4","-33.6736568.93E-4"
"39","-70.7043238.93E-4","-33.5152638.93E-4"
"43","-70.4546748.93E-4","-33.5767638.93E-4"
"44","-70.0957728.93E-4","-33.701268.93E-4"
"45","-70.3526158.93E-4","-33.701268.93E-4"
"46","-70.3464438.93E-4","-33.6420638.93E-4"
"47","-70.5787288.93E-4","-33.5569958.93E-4"
"49","-70.4909218.93E-4","-33.5949828.93E-4"
"50","-70.5156788.93E-4","-33.6002398.93E-4"
"51","-70.0957728.93E-4","-33.701268.93E-4"
"52","-70.3571328.93E-4","-33.701268.93E-4"
"53","-70.5549778.93E-4","-33.6149718.93E-4"
"54","-70.4229438.93E-4","-33.5778248.93E-4"
"55","-70.2755368.93E-4","-33.7694828.93E-4"
"56","-70.6189278.93E-4","-33.1311538.93E-4"
"57","-70.5875638.93E-4","-33.4694218.93E-4"
"58","-70.5968638.93E-4","-33.701268.93E-4"
"59","-70.0957728.93E-4","-33.701268.93E-4"
"60","-70.4536748.93E-4","-33.5765888.93E-4"
"61","-70.8750088.93E-4","-33.601048.93E-4"
"62","-70.5728688.93E-4","-33.6421598.93E-4"
"63","-70.3545688.93E-4","-33.6363458.93E-4"
"64","-70.0957728.93E-4","-33.701268.93E-4"
"65","-70.6425328.93E-4","-33.543538.93E-4"
"66","-70.0957728.93E-4","-33.701268.93E-4"
"68","-70.0957728.93E-4","-33.701268.93E-4"
"69","-70.4537128.93E-4","-33.5765958.93E-4"
"70","-70.3342748.93E-4","-33.693478.93E-4"
"72","-71.1545728.93E-4","-33.6507918.93E-4"
"73","-71.1994028.93E-4","-33.6821338.93E-4"
"74","-71.2004178.93E-4","-33.6786968.93E-4"
"75","-71.1962058.93E-4","-33.7408918.93E-4"
"76","-71.2297828.93E-4","-33.6857228.93E-4"
"77","-70.5896228.93E-4","-33.6148158.93E-4"
"78","-71.1962058.93E-4","-33.7408918.93E-4"
"79","-71.1962058.93E-4","-33.7408918.93E-4"
"80","-71.1962058.93E-4","-33.7408918.93E-4"
"81","-71.2363288.93E-4","-33.6834498.93E-4"
"82","-71.2293248.93E-4","-33.6873028.93E-4"
"83","-71.2059258.93E-4","-33.6769148.93E-4"
"84","-71.2266548.93E-4","-33.6809698.93E-4"
"85","-71.233628.93E-4","-33.678818.93E-4"
"86","-71.2118458.93E-4","-33.4961098.93E-4"
"89","-71.220498.93E-4","-33.6952748.93E-4"
"91","-71.1535498.93E-4","-33.6526348.93E-4"
"92","-73.1454858.93E-4","-36.7889638.93E-4"
"93","-71.0353398.93E-4","-33.6668598.93E-4"
"94","-71.2251828.93E-4","-33.6805958.93E-4"
"95","-71.2343678.93E-4","-33.6806378.93E-4"
"96","-71.2118458.93E-4","-33.4961098.93E-4"
"97","-71.2251978.93E-4","-33.7408918.93E-4"
"98","-71.2118458.93E-4","-33.4961098.93E-4"
"99","-71.1962058.93E-4","-33.7408918.93E-4"
"100","-71.2243048.93E-4","-33.7422528.93E-4"
